ID_TYPE_PRESTATION;CODE_TYPE_PRESTATION;LIB_TYPE_PRESTATION;CODE_CATEGORIE;LIB_CATEGORIE;
MRC WGR;WGR;Grosses reparations     ;MRC;Marché;
MRC WHA;WHA;Honoraires Amelioration ;MRC;Marché;
MRC WHC;WHC;Honoraires Construction ;MRC;Marché;
MRC WHE;WHE;Honoraires GE           ;MRC;Marché;
MRC WHH;WHH;Honoraires Rehabilitat. ;MRC;Marché;
MRC WHI;WHI;Sinistre honoraires     ;MRC;Marché;
MRC WHR;WHR;Honoraires GR           ;MRC;Marché;
MRC WIF;WIF;Marché immo comp Web    ;MRC;Marché;
MRC WIN;WIN;Sinistre                ;MRC;Marché;
MRC WIX;WIX;Marché Invest et Exploit;MRC;Marché;
MRC WML;WML;Amelioration            ;MRC;Marché;
MRC WPG;WPG;Ge entretien prov Web   ;MRC;Marché;
MRC WRH;WRH;Rehabilitation          ;MRC;Marché;
MRC WST;WST;Construction            ;MRC;Marché;
