ID_JOURNAL_COMPTABLE;CODE_JOURNAL_COMPTABLE;LIB_RED_JOURNAL_COMPTABLE;LIB_JOURNAL_COMPTABLE;INDIC_REPORT_A_NOUVEAU;CODE_SOCIETE;
V90 VE7;VE7;LIV SOC   ;LIVRET SOCIAL CE PARIS  ;NULL;V90;
V90 VH1;VH1;CE ALH    ;CE ALLIADE HABITAT      ;NULL;V90;
V90 VH2;VH2;CCP ALH   ;LA BQE POSTALE ALLIADE  ;NULL;V90;
HLM ODY;ODY;OD REP ALH;OD REPRISE ALLIADE      ;NULL;N/A;
V90 ODY;ODY;OD REP ALH;OD REPRISE ALLIADE      ;NULL;V90;
HLM ODZ;ODZ;REP ALLIAD;OD REP ALLIADE MVT 2018 ;NULL;N/A;
V90 ODZ;ODZ;REP ALLIAD;OD REP ALLIADE MVT 2018 ;NULL;V90;
HLM TC2;TC2;LIV A BP  ;LIVRET A BQ POSTALE     ;NULL;N/A;
V90 TC2;TC2;LIV A BP  ;LIVRET A BQ POSTALE     ;NULL;V90;
HLM BC6;BC6;ARKEA DIV ;ARKEA DIVIDENDES        ;NULL;N/A;
V90 BC6;BC6;ARKEA DIV ;ARKEA DIVIDENDES        ;NULL;V90;
FOY FAC;FAC;Jnl Fact  ;Journal de facturation  ;NULL;N/A;
SES FCE;FCE;CE SES    ;CAISSE D'EPARNE SES     ;NULL;SES;
SES LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;SES;
SES ODB;ODB;OD FC-BL  ;OD FC-BL-SL-KM V90      ;NULL;SES;
SES ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;SES;
SES ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;SES;
SES ODO;ODO;OD POT GOP;OD POT GOP              ;NULL;SES;
SES ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;SES;
SES PAI;PAI;PAIE      ;PAIE                    ;NULL;SES;
SES RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;SES;
SES REC;REC;CH LO FO C;REG CH.LOC FORF CREDIT  ;NULL;SES;
SES RED;RED;CH LO FO D;REG CH.LOC FORF DEBIT   ;NULL;SES;
SES REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;SES;
SES REP;REP;REPRISES  ;REPRISES                ;NULL;SES;
SES ZDG;ZDG;REP. DEPOT;REPRISE DEPOTS GARANTIES;NULL;SES;
SES ZSO;ZSO;REP. SOLDE;REPRISE SOLDE LOCATAIRE ;NULL;SES;
FOY ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;N/A;
SES ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;SES;
FOY FB1;FB1;BQ TRANS  ;BQ TRANSITOIRE          ;NULL;N/A;
SES FB1;FB1;BQ TRANS  ;BQ TRANSITOIRE          ;NULL;SES;
SLA ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;SLA;
SLA BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;SLA;
SLA ODB;ODB;OD FC-BL  ;OD FC-BL-SL-KM V90      ;NULL;SLA;
SLA ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;SLA;
SLA REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;SLA;
FOY EMP;EMP;EMPRUNTS  ;EMPRUNTS                ;NULL;N/A;
HLM EMP;EMP;EMPRUNTS  ;EMPRUNTS                ;NULL;N/A;
SES EMP;EMP;EMPRUNTS  ;EMPRUNTS                ;NULL;SES;
V90 S01;S01;HSBC Sog  ;HSBC (Sog)              ;NULL;V90;
V90 S03;S03;CEP Sog   ;CEP (Sog)               ;NULL;V90;
V90 S05;S05;CDC Sog   ;CDC (Sog)               ;NULL;V90;
V90 S06;S06;SG SOG    ;STE GENERALE (SOG)      ;NULL;V90;
FOY FAL;FAL;LIV A ARK ;LIVRET A ARKEA          ;NULL;N/A;
FOY FAR;FAR;ARKEA     ;ARKEA                   ;NULL;N/A;
FOY FBC;FBC;BRED COND ;BRED CONDORCET          ;NULL;N/A;
FOY FLC;FLC;LIVRET CE ;LIVRET A CE             ;NULL;N/A;
FOY ODR;ODR;OD REP    ;OD REPRISE PPP          ;NULL;N/A;
FOY RAP;RAP;RAN PPP   ;RAN PPP                 ;NULL;N/A;
SES FAL;FAL;LIV A ARK ;LIVRET A ARKEA          ;NULL;SES;
SES FAR;FAR;ARKEA     ;ARKEA                   ;NULL;SES;
SES FBC;FBC;BRED COND ;BRED CONDORCET          ;NULL;SES;
SES FLC;FLC;LIVRET CE ;LIVRET A CE             ;NULL;SES;
SES ODR;ODR;OD REP    ;OD REPRISE PPP          ;NULL;SES;
SES RAP;RAP;RAN PPP   ;RAN PPP                 ;NULL;SES;
SLA QFH;QFH;QUITT     ;QUITTANCEMENT           ;NULL;SLA;
SLA QUI;QUI;QUITTANCEM;QUIT A LA DEMANDE HLM   ;NULL;SLA;
SEA ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;SEA;
ADL AD1;AD1;ADL BRED  ;ADL BRED                ;NULL;ADL;
ADL AD2;AD2;ADL BRED  ;ADL BRED   2101 8656 394;NULL;ADL;
ADL AD3;AD3;ADL BP    ;ADL BANQUE POSTALE      ;NULL;ADL;
ADL AD4;AD4;ADL CE    ;ADL CAISSE EPARGNE      ;NULL;ADL;
ADL RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;ADL;
HLM AR1;AR1;ARKEA     ;ARKEA 06824498841       ;NULL;N/A;
V90 AR1;AR1;ARKEA     ;ARKEA 06824498841       ;NULL;V90;
ADL ACH;ACH;ACHATS    ;ACHATS                  ;NULL;ADL;
INT LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;N/A;
INT ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;N/A;
INT RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;N/A;
FOY ACH;ACH;ACHATS    ;ACHATS                  ;NULL;N/A;
FOY ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;N/A;
FOY APL;APL;APL/AL    ;APL/AL                  ;NULL;N/A;
FOY BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;N/A;
FOY LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;N/A;
FOY ODB;ODB;OD FC-BL  ;OD FC-BL-SL-KM V90      ;NULL;N/A;
FOY ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
FOY ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;N/A;
FOY ODO;ODO;OD POT GOP;OD POT GOP              ;NULL;N/A;
FOY ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;N/A;
FOY PAI;PAI;PAIE      ;PAIE                    ;NULL;N/A;
FOY RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;N/A;
FOY REC;REC;CH LO FO C;REG CH.LOC FORF CREDIT  ;NULL;N/A;
FOY RED;RED;CH LO FO D;REG CH.LOC FORF DEBIT   ;NULL;N/A;
FOY REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;N/A;
FOY REP;REP;REPRISES  ;REPRISES                ;NULL;N/A;
FOY ZDG;ZDG;REP. DEPOT;REPRISE DEPOTS GARANTIES;NULL;N/A;
FOY ZSO;ZSO;REP. SOLDE;REPRISE SOLDE LOCATAIRE ;NULL;N/A;
HLM CD1;CD1;CDC LAMB P;CDC ST LAMBERT PRELVT   ;NULL;N/A;
HLM CD2;CD2;CDC STLAMB;CDC ST LAMBERT          ;NULL;N/A;
SLA CD1;CD1;CDC LAMB P;CDC ST LAMBERT PRELVT   ;NULL;SLA;
SLA CD2;CD2;CDC STLAMB;CDC ST LAMBERT          ;NULL;SLA;
SLA LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;SLA;
HLM S21;S21;BQ ESC    ;BQ ESC SOG (512171)     ;NULL;N/A;
V90 S21;S21;BQ ESC    ;BQ ESC SOG (512171)     ;NULL;V90;
HLM MF1;MF1;MFRP LCL  ;MFRP LCL                ;NULL;N/A;
HLM MF2;MF2;MFRP CCP  ;MFRP CCP                ;NULL;N/A;
HLM MF3;MF3;MFRP LIVA ;MFRP LIVRET A LCL       ;NULL;N/A;
HLM MF4;MF4;MFRP BRED ;MFRP BRED               ;NULL;N/A;
HLM MF5;MF5;MFRP LCL  ;MFRP CREDIT LYONNAIS    ;NULL;N/A;
V90 MF1;MF1;MFRP LCL  ;MFRP LCL                ;NULL;V90;
V90 MF2;MF2;MFRP CCP  ;MFRP CCP                ;NULL;V90;
V90 MF3;MF3;MFRP LIVA ;MFRP LIVRET A LCL       ;NULL;V90;
V90 MF4;MF4;MFRP BRED ;MFRP BRED               ;NULL;V90;
V90 MF5;MF5;MFRP LCL  ;MFRP CREDIT LYONNAIS    ;NULL;V90;
V90 MIG;MIG;RepMigr   ;Reprise Migration GL    ;NULL;V90;
HLM D01;D01;BRED DOMAX;BRED DMX 520.283.343    ;NULL;N/A;
V90 D01;D01;BRED DOMAX;DMX BRED 520.283.343    ;NULL;V90;
HLM S22;S22;BQ ESC    ;BQ ESCPTE SEFICOS    SGC;NULL;N/A;
HLM S23;S23;SGC BP CCP;SGC BP CCP PDT KENNEDY  ;NULL;N/A;
HLM S24;S24;SGC PDT   ;SGC SG  PDT KENNEDY     ;NULL;N/A;
HLM S25;S25;SGC SG AUB;SGC SG  AUBERLANDY      ;NULL;N/A;
V90 S22;S22;SGC BQ ESC;SGC BQ ESCPTE SEFICOS   ;NULL;V90;
V90 S23;S23;SGC BP CCP;SGC BP CCP PDT KENNEDY  ;NULL;V90;
V90 S24;S24;SGC PDT   ;SGC SG  PDT KENNEDY     ;NULL;V90;
V90 S25;S25;SGC SG AUB;SGC SG  AUBERLANDY      ;NULL;V90;
